Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,PRECISION,TEXTURE_MEMORY,WORK_PER_THREAD,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
md_helper,13572576,73728,1,1,32,0,1,1024,0,0,0,27
md_helper,13419168,36864,1,1,32,0,2,1024,0,0,0,27
md_helper,13836704,24576,1,1,32,0,3,1024,0,0,0,27
md_helper,14717280,18432,1,1,32,0,4,1024,0,0,0,27
md_helper,15421408,14746,1,1,32,0,5,1024,0,0,0,27
md_helper,62872608,73728,1,1,64,0,1,1024,0,0,0,36
md_helper,63064896,36864,1,1,64,0,2,1024,0,0,0,38
md_helper,63317312,24576,1,1,64,0,3,1024,0,0,0,40
md_helper,63400704,18432,1,1,64,0,4,1024,0,0,0,38
md_helper,63517152,14746,1,1,64,0,5,1024,0,0,0,40
md_helper,7611968,73728,2,2,32,0,1,1024,0,0,0,27
md_helper,7865152,36864,2,2,32,0,2,1024,0,0,0,27
md_helper,8121279,24576,2,2,32,0,3,1024,0,0,0,27
md_helper,8559712,18432,2,2,32,0,4,1024,0,0,0,27
md_helper,8733824,14746,2,2,32,0,5,1024,0,0,0,27
md_helper,35782688,73728,2,2,64,0,1,1024,0,0,0,36
md_helper,35930816,36864,2,2,64,0,2,1024,0,0,0,38
md_helper,35957984,24576,2,2,64,0,3,1024,0,0,0,40
md_helper,36726592,18432,2,2,64,0,4,1024,0,0,0,38
md_helper,36223424,14746,2,2,64,0,5,1024,0,0,0,40
md_helper,5352352,73728,3,3,32,0,1,1024,0,0,0,27
md_helper,5416576,36864,3,3,32,0,2,1024,0,0,0,27
md_helper,5634208,24576,3,3,32,0,3,1024,0,0,0,27
md_helper,5828544,18432,3,3,32,0,4,1024,0,0,0,27
md_helper,6128864,14748,3,3,32,0,5,1024,0,0,0,27
md_helper,24668672,73728,3,3,64,0,1,1024,0,0,0,36
md_helper,24669472,36864,3,3,64,0,2,1024,0,0,0,38
md_helper,24703744,24576,3,3,64,0,3,1024,0,0,0,40
md_helper,24742816,18432,3,3,64,0,4,1024,0,0,0,38
md_helper,25322880,14748,3,3,64,0,5,1024,0,0,0,40
md_helper,4038240,73728,4,4,32,0,1,1024,0,0,0,27
md_helper,4264416,36864,4,4,32,0,2,1024,0,0,0,27
md_helper,4330304,24576,4,4,32,0,3,1024,0,0,0,27
md_helper,4466944,18432,4,4,32,0,4,1024,0,0,0,27
md_helper,4897184,14748,4,4,32,0,5,1024,0,0,0,27
md_helper,18649568,73728,4,4,64,0,1,1024,0,0,0,36
md_helper,19097568,36864,4,4,64,0,2,1024,0,0,0,38
md_helper,18701440,24576,4,4,64,0,3,1024,0,0,0,40
md_helper,19119456,18432,4,4,64,0,4,1024,0,0,0,38
md_helper,19350464,14748,4,4,64,0,5,1024,0,0,0,40
md_helper,3291392,73730,5,5,32,0,1,1024,0,0,0,27
md_helper,3450080,36865,5,5,32,0,2,1024,0,0,0,27
md_helper,3642656,24580,5,5,32,0,3,1024,0,0,0,27
md_helper,3907648,18435,5,5,32,0,4,1024,0,0,0,27
md_helper,3864256,14750,5,5,32,0,5,1024,0,0,0,27
md_helper,15103520,73730,5,5,64,0,1,1024,0,0,0,36
md_helper,15155904,36865,5,5,64,0,2,1024,0,0,0,38
