Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,11510668,1,1,1,1,1,1,64,16,32,1,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,8392844,1,1,1,1,1,1,64,16,32,1,1,1,1024,1024,0,0,41,1024,2048,0,0,10,1024,2052,0,0,18
scan,5907553,1,1,1,1,1,1,64,32,32,0,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,4393445,1,1,1,1,1,1,64,32,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,5920854,1,1,1,1,1,1,64,32,32,1,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,4388384,1,1,1,1,1,1,64,32,32,1,1,1,1024,1024,0,0,41,1024,2048,0,0,10,1024,2052,0,0,18
scan,3213559,1,1,1,1,1,1,64,64,32,0,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,2496086,1,1,1,1,1,1,64,64,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,3214041,1,1,1,1,1,1,64,64,32,1,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,2518145,1,1,1,1,1,1,64,64,32,1,1,1,1024,1024,0,0,41,1024,2048,0,0,10,1024,2052,0,0,18
scan,103876715,1,1,1,1,1,1,128,1,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,57694239,1,1,1,1,1,1,128,1,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,72255155,1,1,1,1,1,1,128,1,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,76521629,1,1,1,1,1,1,128,1,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,52196092,1,1,1,1,1,1,128,2,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,39398974,1,1,1,1,1,1,128,2,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,52363087,1,1,1,1,1,1,128,2,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,39538104,1,1,1,1,1,1,128,2,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,26250488,1,1,1,1,1,1,128,4,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,19840910,1,1,1,1,1,1,128,4,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,26340046,1,1,1,1,1,1,128,4,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,19929917,1,1,1,1,1,1,128,4,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,13255473,1,1,1,1,1,1,128,8,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,10117752,1,1,1,1,1,1,128,8,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,13342276,1,1,1,1,1,1,128,8,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,10139738,1,1,1,1,1,1,128,8,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,6793166,1,1,1,1,1,1,128,16,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,5213232,1,1,1,1,1,1,128,16,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,6819128,1,1,1,1,1,1,128,16,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,5205186,1,1,1,1,1,1,128,16,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,3594785,1,1,1,1,1,1,128,32,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,2826774,1,1,1,1,1,1,128,32,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,3601877,1,1,1,1,1,1,128,32,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,2876201,1,1,1,1,1,1,128,32,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,2172439,1,1,1,1,1,1,128,64,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,1846039,1,1,1,1,1,1,128,64,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,2187272,1,1,1,1,1,1,128,64,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,1763922,1,1,1,1,1,1,128,64,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,1438545,1,1,1,1,1,1,128,128,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,1258001,1,1,1,1,1,1,128,128,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,1423463,1,1,1,1,1,1,128,128,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,1258918,1,1,1,1,1,1,128,128,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,63844625,1,1,1,1,1,1,256,1,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,49280425,1,1,1,1,1,1,256,1,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,17
scan,62407559,1,1,1,1,1,1,256,1,32,1,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,49516798,1,1,1,1,1,1,256,1,32,1,1,1,1024,4096,0,0,41,1024,8192,0,0,10,1024,8196,0,0,18
scan,32055462,1,1,1,1,1,1,256,2,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,25354239,1,1,1,1,1,1,256,2,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,17
