Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,PRECISION,TEXTURE_MEMORY,WORK_PER_THREAD,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
md_helper,232480,74160,927,927,32,0,1,1024,0,0,0,30
md_helper,309312,37026,561,561,32,0,2,1024,0,0,0,32
md_helper,336096,37107,279,279,64,0,2,1024,0,0,0,40
md_helper,264096,73953,747,747,32,0,1,1024,0,0,0,30
md_helper,587392,18468,324,324,64,0,4,1024,0,0,0,40
md_helper,287872,74258,694,694,64,0,1,1024,0,0,0,40
md_helper,238944,73884,524,524,32,0,1,1024,0,0,0,30
md_helper,240992,73843,539,539,32,0,1,1024,0,0,0,30
md_helper,734176,15040,320,320,64,0,5,1024,0,0,0,40
md_helper,380544,37629,1017,1017,64,0,2,1024,0,0,0,40
md_helper,574944,18532,113,113,64,0,4,1024,0,0,0,40
md_helper,695648,14912,466,466,32,0,5,1024,0,0,0,32
md_helper,439072,24650,493,493,32,0,3,1024,0,0,0,32
md_helper,291904,36864,48,48,32,0,2,1024,0,0,0,32
md_helper,254816,73911,347,347,64,0,1,1024,0,0,0,40
md_helper,316960,74382,759,759,64,0,1,1024,0,0,0,40
md_helper,536800,18497,349,349,32,0,4,1024,0,0,0,32
md_helper,598464,18630,621,621,32,0,4,1024,0,0,0,32
md_helper,293760,36890,85,85,32,0,2,1024,0,0,0,32
md_helper,584960,18546,562,562,32,0,4,1024,0,0,0,32
md_helper,251392,74100,570,570,32,0,1,1024,0,0,0,30
md_helper,317120,37271,611,611,32,0,2,1024,0,0,0,32
md_helper,340160,37128,408,408,32,0,2,1024,0,0,0,32
md_helper,240352,73935,477,477,64,0,1,1024,0,0,0,40
md_helper,772736,15168,632,632,32,0,5,1024,0,0,0,32
md_helper,301664,37100,530,530,32,0,2,1024,0,0,0,32
md_helper,364992,74211,853,853,64,0,1,1024,0,0,0,40
md_helper,527040,18522,98,98,32,0,4,1024,0,0,0,32
md_helper,757120,15125,605,605,32,0,5,1024,0,0,0,32
md_helper,313056,36963,333,333,32,0,2,1024,0,0,0,32
md_helper,261599,74002,454,454,32,0,1,1024,0,0,0,30
