Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,6344799,1,1,1,1,1,1,128,8,32,1,0,1,1024,2048,0,0,31,1024,4096,0,0,14,1024,4100,0,0,20
scan,7552467,1,1,1,1,1,1,256,4,32,0,0,1,1024,4096,0,0,31,1024,8192,0,0,13,1024,8196,0,0,18
scan,565387,1,1,1,1,1,1,512,64,64,1,0,1,1024,16384,0,0,28,1024,32768,0,0,18,1024,32776,0,0,26
scan,1873515,1,1,1,1,1,1,64,32,64,0,0,1,1024,2048,0,0,28,1024,4096,0,0,16,1024,4104,0,0,26
scan,2746525,1,1,1,1,1,1,256,8,64,1,0,1,1024,8192,0,0,28,1024,16384,0,0,18,1024,16392,0,0,26
scan,3347392,1,1,1,1,1,1,64,16,64,0,0,1,1024,2048,0,0,28,1024,4096,0,0,16,1024,4104,0,0,26
scan,3286243,1,1,1,1,1,1,128,16,32,0,0,1,1024,2048,0,0,31,1024,4096,0,0,13,1024,4100,0,0,18
scan,6457541,1,1,1,1,1,1,128,4,64,0,1,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,2357601,1,1,1,1,1,1,512,8,32,1,1,1,1024,8192,0,0,31,1024,16384,0,0,12,1024,16388,0,0,18
scan,56086723,1,1,1,1,1,1,16,4,32,0,1,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,1323220,1,1,1,1,1,1,512,16,32,1,1,1,1024,8192,0,0,31,1024,16384,0,0,12,1024,16388,0,0,18
scan,20432338,1,1,1,1,1,1,512,1,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,7673945,1,1,1,1,1,1,512,2,64,1,0,1,1024,16384,0,0,28,1024,32768,0,0,18,1024,32776,0,0,26
scan,12772168,1,1,1,1,1,1,64,4,64,1,0,1,1024,2048,0,0,28,1024,4096,0,0,18,1024,4104,0,0,26
scan,1065596,1,1,1,1,1,1,64,64,64,0,0,1,1024,2048,0,0,28,1024,4096,0,0,16,1024,4104,0,0,26
scan,2732782,1,1,1,1,1,1,256,8,64,0,0,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,1184244,1,1,1,1,1,1,512,16,64,0,0,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,15268007,1,1,1,1,1,1,128,2,64,0,0,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,798132,1,1,1,1,1,1,128,64,64,0,0,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,1064356,1,1,1,1,1,1,128,32,64,0,1,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,1582677,1,1,1,1,1,1,64,64,32,0,0,1,1024,1024,0,0,31,1024,2048,0,0,13,1024,2052,0,0,18
scan,5173448,1,1,1,1,1,1,256,4,64,0,0,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,47785774,1,1,1,1,1,1,128,1,32,0,0,1,1024,2048,0,0,31,1024,4096,0,0,13,1024,4100,0,0,18
scan,7824687,1,1,1,1,1,1,128,4,64,1,0,1,1024,4096,0,0,28,1024,8192,0,0,18,1024,8200,0,0,26
scan,19884359,1,1,1,1,1,1,256,1,64,0,0,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,7701785,1,1,1,1,1,1,512,2,64,0,0,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,4009938,1,1,1,1,1,1,128,8,64,0,0,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,1008494,1,1,1,1,1,1,128,64,32,0,0,1,1024,2048,0,0,31,1024,4096,0,0,13,1024,4100,0,0,18
scan,511579,1,1,1,1,1,1,512,256,64,0,0,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,525241,1,1,1,1,1,1,512,512,64,1,0,1,1024,16384,0,0,28,1024,32768,0,0,18,1024,32776,0,0,26
scan,779478,1,1,1,1,1,1,512,32,64,1,0,1,1024,16384,0,0,28,1024,32768,0,0,18,1024,32776,0,0,26
scan,464117,1,1,1,1,1,1,256,256,32,0,0,1,1024,4096,0,0,31,1024,8192,0,0,13,1024,8196,0,0,18
scan,56077449,1,1,1,1,1,1,16,4,32,0,0,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,906367,1,1,1,1,1,1,256,32,64,0,0,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,2075544,1,1,1,1,1,1,256,16,32,0,0,1,1024,4096,0,0,31,1024,8192,0,0,13,1024,8196,0,0,18
scan,643023,1,1,1,1,1,1,256,64,64,0,0,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,21785820,1,1,1,1,1,1,64,4,32,0,0,1,1024,1024,0,0,31,1024,2048,0,0,13,1024,2052,0,0,18
scan,4020478,1,1,1,1,1,1,256,8,32,1,0,1,1024,4096,0,0,31,1024,8192,0,0,14,1024,8196,0,0,20
scan,15102916,1,1,1,1,1,1,256,2,32,1,0,1,1024,4096,0,0,31,1024,8192,0,0,14,1024,8196,0,0,20
scan,516345,1,1,1,1,1,1,256,256,64,0,0,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,449835,1,1,1,1,1,1,512,256,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,2948600,1,1,1,1,1,1,64,32,32,1,0,1,1024,1024,0,0,31,1024,2048,0,0,14,1024,2052,0,0,20
scan,463611,1,1,1,1,1,1,256,256,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
