Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,71192489,1,1,1,1,1,1,64,1,32,1,1,1,1024,1024,0,0,31,1024,2048,0,0,10,1024,2052,0,0,18
scan,1053146,1,1,1,1,1,1,512,32,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,24708191,1,1,1,1,1,1,256,1,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
scan,2560298,1,1,1,1,1,1,64,32,32,1,1,1,1024,1024,0,0,31,1024,2048,0,0,10,1024,2052,0,0,18
scan,5745573,1,1,1,1,1,1,512,4,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,35768573,1,1,1,1,1,1,64,2,32,1,1,1,1024,1024,0,0,31,1024,2048,0,0,10,1024,2052,0,0,18
scan,797531,1,1,1,1,1,1,256,64,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
scan,1247160,1,1,1,1,1,1,512,16,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,4845862,1,1,1,1,1,1,512,4,32,1,1,1,1024,8192,0,0,31,1024,16384,0,0,12,1024,16388,0,0,18
scan,580172,1,1,1,1,1,1,512,256,32,1,1,1,1024,8192,0,0,31,1024,16384,0,0,12,1024,16388,0,0,18
scan,1632573,1,1,1,1,1,1,128,32,32,1,1,1,1024,2048,0,0,31,1024,4096,0,0,10,1024,4100,0,0,18
scan,21924360,1,1,1,1,1,1,512,1,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,10508229,1,1,1,1,1,1,16,16,32,1,1,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,9339067,1,1,1,1,1,1,512,2,32,0,1,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,18
scan,662543,1,1,1,1,1,1,512,512,64,1,0,1,1024,16384,0,0,28,1024,32768,0,0,18,1024,32776,0,0,26
scan,20357338,1,1,1,1,1,1,128,2,32,1,1,1,1024,2048,0,0,31,1024,4096,0,0,10,1024,4100,0,0,18
scan,4774692,1,1,1,1,1,1,64,16,32,1,1,1,1024,1024,0,0,31,1024,2048,0,0,10,1024,2052,0,0,18
scan,737302,1,1,1,1,1,1,512,64,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,2119938,1,1,1,1,1,1,512,8,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,2599981,1,1,1,1,1,1,512,8,32,1,1,1,1024,8192,0,0,31,1024,16384,0,0,12,1024,16388,0,0,18
scan,1456109,1,1,1,1,1,1,64,64,32,1,1,1,1024,1024,0,0,31,1024,2048,0,0,10,1024,2052,0,0,18
scan,588938,1,1,1,1,1,1,256,256,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
scan,618389,1,1,1,1,1,1,512,128,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,600138,1,1,1,1,1,1,512,128,32,0,1,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,18
scan,686961,1,1,1,1,1,1,512,64,32,0,1,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,18
scan,7398438,1,1,1,1,1,1,512,2,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,18092064,1,1,1,1,1,1,64,4,32,1,1,1,1024,1024,0,0,31,1024,2048,0,0,10,1024,2052,0,0,18
scan,1020890,1,1,1,1,1,1,128,64,32,1,1,1,1024,2048,0,0,31,1024,4096,0,0,10,1024,4100,0,0,18
scan,12515701,1,1,1,1,1,1,256,2,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
scan,1161349,1,1,1,1,1,1,256,32,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
scan,3874718,1,1,1,1,1,1,512,4,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,10402251,1,1,1,1,1,1,128,4,32,1,1,1,1024,2048,0,0,31,1024,4096,0,0,10,1024,4100,0,0,18
scan,579106,1,1,1,1,1,1,512,512,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,882915,1,1,1,1,1,1,512,32,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,661322,1,1,1,1,1,1,512,512,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,161856540,1,1,1,1,1,1,16,1,32,1,1,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,619553,1,1,1,1,1,1,256,128,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
scan,887540,1,1,1,1,1,1,512,32,32,1,1,1,1024,8192,0,0,31,1024,16384,0,0,12,1024,16388,0,0,18
scan,1388215,1,1,1,1,1,1,512,16,32,0,1,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,18
scan,899901,1,1,1,1,1,1,512,32,32,0,1,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,18
scan,748547,1,1,1,1,1,1,128,128,32,1,1,1,1024,2048,0,0,31,1024,4096,0,0,10,1024,4100,0,0,18
scan,662705,1,1,1,1,1,1,512,64,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,4922166,1,1,1,1,1,1,128,8,32,1,1,1,1024,2048,0,0,31,1024,4096,0,0,10,1024,4100,0,0,18
scan,1583864,1,1,1,1,1,1,512,16,32,1,0,1,1024,8192,0,0,31,1024,16384,0,0,14,1024,16388,0,0,20
scan,13222737,1,1,1,1,1,1,512,1,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,3586100,1,1,1,1,1,1,512,4,64,0,1,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,9537953,1,1,1,1,1,1,128,4,32,0,1,1,1024,2048,0,0,31,1024,4096,0,0,14,1024,4100,0,0,18
scan,7716302,1,1,1,1,1,1,128,4,64,0,0,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,1433940,1,1,1,1,1,1,256,16,64,0,1,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,2628830,1,1,1,1,1,1,256,8,64,1,1,1,1024,8192,0,0,28,1024,16384,0,0,14,1024,16392,0,0,26
scan,668879,1,1,1,1,1,1,512,256,64,0,1,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,7466121,1,1,1,1,1,1,512,2,64,0,1,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,4891414,1,1,1,1,1,1,256,4,64,0,1,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,1745751,1,1,1,1,1,1,64,32,64,0,1,1,1024,2048,0,0,28,1024,4096,0,0,16,1024,4104,0,0,26
scan,18438023,1,1,1,1,1,1,256,1,64,0,1,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
scan,17729026,1,1,1,1,1,1,16,8,64,0,1,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
