Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,WORK_PER_THREAD,LOOP_UNROLL_TRIAD,PRECISION,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
triad_helper,34880,105120,730,730,5,0,32,1024,0,0,0,14
triad_helper,43232,59040,615,615,9,1,32,1024,0,0,0,15
triad_helper,42688,1050720,597,597,1,1,64,1024,0,0,0,12
triad_helper,30016,524320,565,565,1,1,32,1024,0,0,0,12
triad_helper,32095,87480,810,810,6,1,32,1024,0,0,0,14
triad_helper,45568,149800,25,25,7,1,64,1024,0,0,0,18
triad_helper,55936,174960,135,135,6,0,64,1024,0,0,0,14
triad_helper,55296,177408,352,352,6,0,64,1024,0,0,0,14
triad_helper,40096,60320,580,580,9,0,32,1024,0,0,0,14
triad_helper,32864,76128,312,312,7,0,32,1024,0,0,0,14
triad_helper,53632,176352,501,501,6,0,64,1024,0,0,0,14
triad_helper,33600,1049016,401,401,1,1,64,1024,0,0,0,12
triad_helper,20992,175200,438,438,3,1,32,1024,0,0,0,16
triad_helper,25600,105196,289,289,5,1,32,1024,0,0,0,14
triad_helper,23680,175392,232,232,3,0,32,1024,0,0,0,14
triad_helper,31424,58320,30,30,9,1,32,1024,0,0,0,15
triad_helper,95232,349536,11,11,3,1,64,1024,0,0,0,18
triad_helper,32607,75120,939,939,7,1,32,1024,0,0,0,14
triad_helper,37856,52800,330,330,10,1,32,1024,0,0,0,16
triad_helper,39168,75336,438,438,7,0,32,1024,0,0,0,14
triad_helper,21056,525760,496,496,1,1,32,1024,0,0,0,12
triad_helper,34592,350752,388,388,3,1,64,1024,0,0,0,18
triad_helper,28224,65728,208,208,8,1,32,1024,0,0,0,14
triad_helper,32992,52780,91,91,10,1,32,1024,0,0,0,16
triad_helper,33120,75060,695,695,7,1,32,1024,0,0,0,14
triad_helper,26624,525420,695,695,1,1,32,1024,0,0,0,12
triad_helper,20640,263268,309,309,2,1,32,1024,0,0,0,12
triad_helper,34240,89544,861,861,6,1,32,1024,0,0,0,14
triad_helper,31296,65720,106,106,8,1,32,1024,0,0,0,14
triad_helper,35936,66048,192,192,8,1,32,1024,0,0,0,14
triad_helper,24576,176640,552,552,3,1,32,1024,0,0,0,16
triad_helper,29504,262344,51,51,2,0,32,1024,0,0,0,16
triad_helper,23264,131712,196,196,4,1,32,1024,0,0,0,14
triad_helper,21824,263160,430,430,2,0,32,1024,0,0,0,16
triad_helper,42560,58848,613,613,9,1,32,1024,0,0,0,15
triad_helper,191872,524288,8,8,1,1,32,1024,0,0,0,12
triad_helper,20608,175104,288,288,3,1,32,1024,0,0,0,16
triad_helper,40896,352800,980,980,3,1,64,1024,0,0,0,18
triad_helper,32320,65780,65,65,8,1,32,1024,0,0,0,14
triad_helper,23104,174960,81,81,3,0,32,1024,0,0,0,14
triad_helper,24224,263640,507,507,2,1,32,1024,0,0,0,12
triad_helper,43232,59064,321,321,9,1,32,1024,0,0,0,15
triad_helper,26816,176880,660,660,3,0,32,1024,0,0,0,14
triad_helper,38656,524300,49,49,1,1,32,1024,0,0,0,12
triad_helper,30656,75008,293,293,7,1,32,1024,0,0,0,14
triad_helper,22592,262800,292,292,2,1,32,1024,0,0,0,12
triad_helper,21056,174964,83,83,3,1,32,1024,0,0,0,16
triad_helper,22880,263088,324,324,2,1,32,1024,0,0,0,12
triad_helper,24896,104880,138,138,5,1,32,1024,0,0,0,14
triad_helper,26240,105080,370,370,5,1,32,1024,0,0,0,14
triad_helper,33312,526176,783,783,2,1,64,1024,0,0,0,13
triad_helper,24896,133776,929,929,4,1,32,1024,0,0,0,14
triad_helper,35584,66240,276,276,8,1,32,1024,0,0,0,14
triad_helper,34400,65760,548,548,8,1,32,1024,0,0,0,14
triad_helper,20832,175968,846,846,3,1,32,1024,0,0,0,16
triad_helper,27200,87384,331,331,6,1,32,1024,0,0,0,14
triad_helper,27264,106700,485,485,5,1,32,1024,0,0,0,14
triad_helper,31872,52480,40,40,10,1,32,1024,0,0,0,16
triad_helper,22688,527616,916,916,1,1,32,1024,0,0,0,12
triad_helper,23360,131596,197,197,4,1,32,1024,0,0,0,14
triad_helper,43264,58788,639,639,9,1,32,1024,0,0,0,15
triad_helper,28160,131200,41,41,4,1,32,1024,0,0,0,14
triad_helper,28320,524700,583,583,1,1,32,1024,0,0,0,12
triad_helper,36576,349848,339,339,3,1,64,1024,0,0,0,18
triad_helper,27584,176016,579,579,3,0,32,1024,0,0,0,14
triad_helper,24032,132860,455,455,4,0,32,1024,0,0,0,14
triad_helper,63840,264920,895,895,4,0,64,1024,0,0,0,14
triad_helper,54784,265200,425,425,4,0,64,1024,0,0,0,14
triad_helper,52608,263200,175,175,4,0,64,1024,0,0,0,14
triad_helper,26720,131328,171,171,4,0,32,1024,0,0,0,14
triad_helper,29248,87880,338,338,6,0,32,1024,0,0,0,14
triad_helper,27776,88044,319,319,6,0,32,1024,0,0,0,14
triad_helper,23424,131424,296,296,4,1,32,1024,0,0,0,14
triad_helper,26688,131124,49,49,4,1,32,1024,0,0,0,14
triad_helper,23488,525480,302,302,1,1,32,1024,0,0,0,12
