Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,2843828,1,1,1,1,1,1,128,32,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,26236168,1,1,1,1,1,1,128,4,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,1215675,1,1,1,1,1,1,256,256,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,45586249,1,1,1,1,1,1,512,1,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,1603303,1,1,1,1,1,1,256,64,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,1257962,1,1,1,1,1,1,128,128,32,1,1,1,1024,2048,0,0,41,1024,4096,0,0,10,1024,4100,0,0,18
scan,361961098,1,1,1,1,1,1,16,1,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,5779228,1,1,1,1,1,1,256,4,32,1,1,1,1024,4096,0,0,41,1024,8192,0,0,10,1024,8196,0,0,18
scan,56757250,1,1,1,1,1,1,16,8,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,3539583,1,1,1,1,1,1,256,16,32,1,1,1,1024,4096,0,0,41,1024,8192,0,0,10,1024,8196,0,0,18
scan,1724129,1,1,1,1,1,1,512,32,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,50312576,1,1,1,1,1,1,256,1,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,17
scan,2156126,1,1,1,1,1,1,128,64,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,25310229,1,1,1,1,1,1,256,2,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,17
scan,178647037,1,1,1,1,1,1,64,1,32,0,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,1272308,1,1,1,1,1,1,256,128,32,1,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,3161545,1,1,1,1,1,1,512,16,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,1405891,1,1,1,1,1,1,512,128,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,1307136,1,1,1,1,1,1,512,64,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,1314557,1,1,1,1,1,1,512,64,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,9832135,1,1,1,1,1,1,512,4,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,130147609,1,1,1,1,1,1,64,1,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,9866728,1,1,1,1,1,1,512,4,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,2038502,1,1,1,1,1,1,256,32,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,17
scan,1137317,1,1,1,1,1,1,512,512,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,11591189,1,1,1,1,1,1,512,4,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,5073035,1,1,1,1,1,1,512,8,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,16553355,1,1,1,1,1,1,64,8,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,39366218,1,1,1,1,1,1,128,2,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,1259018,1,1,1,1,1,1,512,512,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,1235808,1,1,1,1,1,1,512,256,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,1367585,1,1,1,1,1,1,256,64,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,17
scan,10072113,1,1,1,1,1,1,128,8,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,1321978,1,1,1,1,1,1,512,128,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,19823587,1,1,1,1,1,1,128,4,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,38764322,1,1,1,1,1,1,512,1,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,8420523,1,1,1,1,1,1,64,16,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,5944400,1,1,1,1,1,1,512,8,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,28549353,1,1,1,1,1,1,16,16,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,2481946,1,1,1,1,1,1,64,64,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,1224658,1,1,1,1,1,1,512,256,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,1436360,1,1,1,1,1,1,512,64,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,38724403,1,1,1,1,1,1,512,1,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,1697473,1,1,1,1,1,1,512,32,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,18
scan,1262843,1,1,1,1,1,1,512,512,32,1,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,32799765,1,1,1,1,1,1,64,4,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,78393266,1,1,1,1,1,1,128,1,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,1509043,1,1,1,1,1,1,128,64,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,17
scan,22497047,1,1,1,1,1,1,512,2,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,1195430,1,1,1,1,1,1,256,128,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,17
