Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,WORK_PER_THREAD,LOOP_UNROLL_TRIAD,PRECISION,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
triad_helper,1050016,524288,1,1,1,0,32,1024,0,0,0,8
triad_helper,2083584,1048576,1,1,1,0,64,1024,0,0,0,10
triad_helper,1048128,524288,1,1,1,1,32,1024,0,0,0,8
triad_helper,2083168,1048576,1,1,1,1,64,1024,0,0,0,10
triad_helper,530752,262144,1,1,2,0,32,1024,0,0,0,14
triad_helper,1048480,524288,1,1,2,0,64,1024,0,0,0,15
triad_helper,530496,262144,1,1,2,1,32,1024,0,0,0,9
triad_helper,1049344,524288,1,1,2,1,64,1024,0,0,0,11
triad_helper,366176,174764,1,1,3,0,32,1024,0,0,0,12
triad_helper,718144,349528,1,1,3,0,64,1024,0,0,0,13
triad_helper,360864,174764,1,1,3,1,32,1024,0,0,0,15
triad_helper,711552,349528,1,1,3,1,64,1024,0,0,0,16
triad_helper,291008,131072,1,1,4,0,32,1024,0,0,0,12
triad_helper,560736,262144,1,1,4,0,64,1024,0,0,0,13
triad_helper,285056,131072,1,1,4,1,32,1024,0,0,0,15
triad_helper,554624,262144,1,1,4,1,64,1024,0,0,0,18
triad_helper,249120,104860,1,1,5,0,32,1024,0,0,0,12
triad_helper,467712,209720,1,1,5,0,64,1024,0,0,0,13
triad_helper,242560,104860,1,1,5,1,32,1024,0,0,0,16
triad_helper,460928,209720,1,1,5,1,64,1024,0,0,0,19
triad_helper,221408,87384,1,1,6,0,32,1024,0,0,0,12
triad_helper,429536,174768,1,1,6,0,64,1024,0,0,0,13
triad_helper,213536,87384,1,1,6,1,32,1024,0,0,0,16
triad_helper,398944,174768,1,1,6,1,64,1024,0,0,0,19
triad_helper,216256,74900,1,1,7,0,32,1024,0,0,0,12
triad_helper,420192,149800,1,1,7,0,64,1024,0,0,0,13
triad_helper,193504,74900,1,1,7,1,32,1024,0,0,0,17
triad_helper,353504,149800,1,1,7,1,64,1024,0,0,0,20
triad_helper,208064,65536,1,1,8,0,32,1024,0,0,0,12
triad_helper,401792,131072,1,1,8,0,64,1024,0,0,0,13
triad_helper,178112,65536,1,1,8,1,32,1024,0,0,0,17
triad_helper,319744,131072,1,1,8,1,64,1024,0,0,0,19
triad_helper,211456,58256,1,1,9,0,32,1024,0,0,0,12
triad_helper,411072,116512,1,1,9,0,64,1024,0,0,0,13
triad_helper,166176,58256,1,1,9,1,32,1024,0,0,0,16
triad_helper,294432,116512,1,1,9,1,64,1024,0,0,0,20
triad_helper,210016,52432,1,1,10,0,32,1024,0,0,0,12
triad_helper,407488,104864,1,1,10,0,64,1024,0,0,0,13
triad_helper,157248,52432,1,1,10,1,32,1024,0,0,0,17
triad_helper,274080,104864,1,1,10,1,64,1024,0,0,0,20
triad_helper,530400,524288,2,2,1,0,32,1024,0,0,0,8
triad_helper,1048095,1048576,2,2,1,0,64,1024,0,0,0,10
triad_helper,530272,524288,2,2,1,1,32,1024,0,0,0,8
triad_helper,1047840,1048576,2,2,1,1,64,1024,0,0,0,10
triad_helper,271360,262144,2,2,2,0,32,1024,0,0,0,14
triad_helper,531104,524288,2,2,2,0,64,1024,0,0,0,15
triad_helper,271744,262144,2,2,2,1,32,1024,0,0,0,9
triad_helper,530432,524288,2,2,2,1,64,1024,0,0,0,11
