Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,Global size 3,Local size 3,Global size 4,Local size 4,LOOP_UNROLL_LSB,LOOP_UNROLL_LOCAL_MEMORY,LOOP_UNROLL_ADD_UNIFORM,SCAN_DATA_SIZE,SORT_DATA_SIZE,SCAN_BLOCK_SIZE,SORT_BLOCK_SIZE,INLINE_LSB,INLINE_SCAN,INLINE_LOCAL_MEMORY,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2,Maximum work-group size 3,Local memory size 3,Private memory size 3,Constant memory size 3,Registers count 3,Maximum work-group size 4,Local memory size 4,Private memory size 4,Constant memory size 4,Registers count 4
sort,894989204,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,16,16,1,0,0,1024,132,0,0,29,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,20
sort,892695900,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,16,16,1,1,0,1024,132,0,0,27,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,20
sort,916188693,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,16,16,1,0,1,1024,132,0,0,29,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,21
sort,448779055,1,1,1,1,1,1,1,1,1,1,0,0,1,2,4,32,16,1,1,0,1024,260,0,0,37,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
sort,452581013,1,1,1,1,1,1,1,1,1,1,0,1,0,2,4,32,16,1,1,0,1024,260,0,0,37,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
sort,486871790,1,1,1,1,1,1,1,1,1,1,0,0,1,2,4,32,16,1,0,1,1024,260,0,0,40,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
sort,447930190,1,1,1,1,1,1,1,1,1,1,0,0,0,2,4,32,16,1,0,0,1024,260,0,0,40,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
sort,459108257,1,1,1,1,1,1,1,1,1,1,1,0,0,2,4,32,16,0,0,0,1024,260,0,0,40,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
sort,477986019,1,1,1,1,1,1,1,1,1,1,0,0,0,2,4,32,16,0,0,0,1024,260,0,0,44,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
sort,231780906,1,1,1,1,1,1,1,1,1,1,1,0,0,4,4,32,32,0,0,0,1024,516,0,0,40,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,20
sort,235062403,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,32,32,0,0,1,1024,516,0,0,44,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,20
sort,235343195,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,32,32,0,0,0,1024,516,0,0,40,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,20
sort,245822300,1,1,1,1,1,1,1,1,1,1,1,0,0,4,2,32,64,0,0,0,1024,516,0,0,29,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,20
sort,124142035,1,1,1,1,1,1,1,1,1,1,1,0,0,8,8,32,32,0,0,0,1024,1028,0,0,51,1024,1088,0,0,35,1024,2176,0,0,54,1024,4,0,0,10,1024,1024,0,0,26
sort,232205608,1,1,1,1,1,1,1,1,1,1,1,0,0,8,8,16,16,0,0,0,1024,516,0,0,49,1024,576,0,0,35,1024,1152,0,0,54,1024,4,0,0,10,1024,512,0,0,24
sort,124769680,1,1,1,1,1,1,1,1,1,1,1,1,0,8,8,32,32,0,0,0,1024,1028,0,0,51,1024,1088,0,0,35,1024,2176,0,0,54,1024,4,0,0,10,1024,1024,0,0,24
sort,115744672,1,1,1,1,1,1,1,1,1,1,1,0,0,2,8,128,32,0,0,0,1024,1028,0,0,51,1024,1088,0,0,16,1024,2176,0,0,24,1024,4,0,0,10,1024,1024,0,0,26
sort,122574291,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,128,128,0,0,0,1024,1028,0,0,27,1024,1088,0,0,16,1024,2176,0,0,24,1024,4,0,0,10,1024,1024,0,0,20
sort,115562292,1,1,1,1,1,1,1,1,1,1,1,0,0,2,8,128,32,1,0,1,1024,1028,0,0,49,1024,1088,0,0,16,1024,2176,0,0,24,1024,4,0,0,10,1024,1024,0,0,28
sort,116564114,1,1,1,1,1,1,1,1,1,1,1,0,1,2,8,128,32,0,0,1,1024,1028,0,0,51,1024,1088,0,0,16,1024,2176,0,0,24,1024,4,0,0,10,1024,1024,0,0,28
sort,68418234,1,1,1,1,1,1,1,1,1,1,1,0,0,4,8,128,64,1,0,1,1024,2052,0,0,50,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,28
sort,67397993,1,1,1,1,1,1,1,1,1,1,1,0,0,4,8,128,64,1,1,1,1024,2052,0,0,50,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,28
sort,68531222,1,1,1,1,1,1,1,1,1,1,0,0,0,4,8,128,64,1,1,1,1024,2052,0,0,57,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,28
sort,238733279,1,1,1,1,1,1,1,1,1,1,1,0,0,4,2,32,64,1,1,1,1024,516,0,0,27,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,19
sort,70182953,1,1,1,1,1,1,1,1,1,1,1,0,0,8,8,64,64,1,1,1,1024,2052,0,0,50,1024,2112,0,0,35,1024,4224,0,0,54,1024,4,0,0,10,1024,2048,0,0,28
sort,67606421,1,1,1,1,1,1,1,1,1,1,1,0,0,4,8,128,64,0,0,1,1024,2052,0,0,48,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,28
sort,67414142,1,1,1,1,1,1,1,1,1,1,0,0,0,4,8,128,64,0,1,1,1024,2052,0,0,48,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,28
sort,69427240,1,1,1,1,1,1,1,1,1,1,1,0,0,4,4,128,128,1,1,1,1024,2052,0,0,33,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,20
sort,33854922,1,1,1,1,1,1,1,1,1,1,0,0,1,4,4,512,512,0,0,1,1024,8196,0,0,41,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,20
sort,127501302,1,1,1,1,1,1,1,1,1,1,0,0,1,4,4,64,64,0,0,1,1024,1028,0,0,41,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,22
sort,458692473,1,1,1,1,1,1,1,1,1,1,0,0,1,4,4,16,16,0,0,1,1024,260,0,0,44,1024,320,0,0,24,1024,640,0,0,36,1024,4,0,0,10,1024,256,0,0,20
sort,31305532,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,512,512,0,0,0,1024,8196,0,0,41,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,20
sort,69713172,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,128,128,0,0,0,1024,2052,0,0,41,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,20
sort,123222302,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,64,64,0,0,0,1024,1028,0,0,41,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,20
sort,122935934,1,1,1,1,1,1,1,1,1,1,0,1,0,4,4,64,64,1,0,0,1024,1028,0,0,40,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,19
sort,122331161,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,64,64,1,0,1,1024,1028,0,0,37,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,20
sort,122927854,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,64,64,1,0,1,1024,1028,0,0,40,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,22
sort,123114747,1,1,1,1,1,1,1,1,1,1,1,0,1,4,4,64,64,1,0,1,1024,1028,0,0,37,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,22
sort,123057627,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,64,64,1,0,0,1024,1028,0,0,37,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,19
sort,238494979,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,64,64,1,0,1,1024,516,0,0,27,1024,576,0,0,16,1024,1152,0,0,24,1024,4,0,0,10,1024,512,0,0,19
sort,129136884,1,1,1,1,1,1,1,1,1,1,1,1,0,8,4,32,64,1,0,1,1024,1028,0,0,37,1024,1088,0,0,35,1024,2176,0,0,54,1024,4,0,0,10,1024,1024,0,0,20
sort,119659074,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,64,64,0,0,0,1024,1028,0,0,40,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,19
sort,119750412,1,1,1,1,1,1,1,1,1,1,0,1,1,4,4,64,64,0,0,0,1024,1028,0,0,41,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,19
sort,119640100,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,64,64,0,1,0,1024,1028,0,0,40,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,19
sort,117042746,1,1,1,1,1,1,1,1,1,1,1,1,0,4,8,64,32,0,1,0,1024,1028,0,0,46,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,469338602,1,1,1,1,1,1,1,1,1,1,1,1,0,4,2,16,32,0,1,0,1024,260,0,0,27,1024,320,0,0,24,1024,640,0,0,36,1024,4,0,0,10,1024,256,0,0,17
sort,229813655,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,32,32,0,1,0,1024,516,0,0,40,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,20
sort,122577267,1,1,1,1,1,1,1,1,1,1,0,0,0,4,8,64,32,0,1,0,1024,1028,0,0,48,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,28
sort,116686919,1,1,1,1,1,1,1,1,1,1,1,1,0,4,8,64,32,1,1,0,1024,1028,0,0,49,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,116796843,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,64,32,1,1,0,1024,1028,0,0,49,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,118797998,1,1,1,1,1,1,1,1,1,1,1,1,0,8,8,32,32,1,1,0,1024,1028,0,0,49,1024,1088,0,0,35,1024,2176,0,0,54,1024,4,0,0,10,1024,1024,0,0,24
sort,226437309,1,1,1,1,1,1,1,1,1,1,1,1,0,4,8,32,16,1,1,0,1024,516,0,0,50,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,24
sort,122341822,1,1,1,1,1,1,1,1,1,1,1,1,0,4,8,64,32,0,0,0,1024,1028,0,0,51,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,117019847,1,1,1,1,1,1,1,1,1,1,0,1,0,4,8,64,32,0,1,0,1024,1028,0,0,48,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,116797763,1,1,1,1,1,1,1,1,1,1,1,0,0,4,8,64,32,1,1,0,1024,1028,0,0,49,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,28
sort,468966442,1,1,1,1,1,1,1,1,1,1,1,1,0,4,2,16,32,1,1,0,1024,260,0,0,24,1024,320,0,0,24,1024,640,0,0,36,1024,4,0,0,10,1024,256,0,0,17
sort,116782495,1,1,1,1,1,1,1,1,1,1,0,1,0,4,8,64,32,1,1,0,1024,1028,0,0,55,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,117318892,1,1,1,1,1,1,1,1,1,1,1,1,0,4,8,64,32,1,1,1,1024,1028,0,0,49,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,116923332,1,1,1,1,1,1,1,1,1,1,1,0,0,4,8,64,32,0,1,0,1024,1028,0,0,46,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,28
sort,229413160,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,32,32,1,1,0,1024,516,0,0,31,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,20
sort,123171339,1,1,1,1,1,1,1,1,1,1,0,1,0,4,8,64,32,1,1,1,1024,1028,0,0,55,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,116880788,1,1,1,1,1,1,1,1,1,1,1,1,0,4,8,64,32,1,0,0,1024,1028,0,0,49,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,225282728,1,1,1,1,1,1,1,1,1,1,1,1,0,2,4,64,32,1,1,0,1024,516,0,0,31,1024,576,0,0,16,1024,1152,0,0,24,1024,4,0,0,10,1024,512,0,0,19
sort,122438245,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,64,32,1,0,0,1024,1028,0,0,49,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,24
sort,116780151,1,1,1,1,1,1,1,1,1,1,0,0,0,4,8,64,32,1,1,0,1024,1028,0,0,55,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,28
sort,126691120,1,1,1,1,1,1,1,1,1,1,1,1,0,4,2,64,128,1,1,0,1024,1028,0,0,27,1024,1088,0,0,24,1024,2176,0,0,36,1024,4,0,0,10,1024,1024,0,0,20
sort,224353074,1,1,1,1,1,1,1,1,1,1,0,1,0,2,8,64,16,1,0,1,1024,516,0,0,49,1024,576,0,0,16,1024,1152,0,0,24,1024,4,0,0,10,1024,512,0,0,24
