Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,UNROLL_OUTER_LOOP,UNROLL_INNER_LOOP,CHUNK_FACTOR,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
BFS_kernel_warp,477728,250502,617,617,1,0,4,1024,0,0,0,16
BFS_kernel_warp,491072,1000220,260,260,0,0,1,1024,0,0,0,16
BFS_kernel_warp,641536,1000025,65,65,1,1,1,1024,0,0,0,16
BFS_kernel_warp,526880,125244,588,588,0,1,8,1024,0,0,0,16
BFS_kernel_warp,522144,125042,607,607,0,0,8,1024,0,0,0,16
BFS_kernel_warp,458880,250500,668,668,1,0,4,1024,0,0,0,16
BFS_kernel_warp,481024,250161,183,183,0,1,4,1024,0,0,0,16
BFS_kernel_warp,482144,250042,59,59,1,0,4,1024,0,0,0,16
BFS_kernel_warp,451808,250040,95,95,1,1,4,1024,0,0,0,16
BFS_kernel_warp,471808,250090,890,890,0,0,4,1024,0,0,0,16
BFS_kernel_warp,518112,125136,158,158,0,0,8,1024,0,0,0,16
BFS_kernel_warp,532608,1000606,739,739,1,1,1,1024,0,0,0,16
BFS_kernel_warp,477056,250290,486,486,1,1,4,1024,0,0,0,16
BFS_kernel_warp,483648,1000160,304,304,1,1,1,1024,0,0,0,16
BFS_kernel_warp,484128,250056,207,207,0,1,4,1024,0,0,0,16
BFS_kernel_warp,474016,250040,188,188,0,1,4,1024,0,0,0,16
BFS_kernel_warp,531296,500176,727,727,1,1,2,1024,0,0,0,16
BFS_kernel_warp,451168,250494,503,503,0,1,4,1024,0,0,0,16
BFS_kernel_warp,458464,250245,1005,1005,1,1,4,1024,0,0,0,16
BFS_kernel_warp,504448,250535,563,563,0,0,4,1024,0,0,0,16
BFS_kernel_warp,524064,250194,322,322,0,1,4,1024,0,0,0,16
BFS_kernel_warp,521440,125250,375,375,0,1,8,1024,0,0,0,16
BFS_kernel_warp,446592,250190,254,254,0,0,4,1024,0,0,0,16
BFS_kernel_warp,522687,500004,387,387,0,0,2,1024,0,0,0,16
BFS_kernel_warp,517247,250312,536,536,1,0,4,1024,0,0,0,16
BFS_kernel_warp,529888,125097,259,259,0,0,8,1024,0,0,0,16
BFS_kernel_warp,474208,250272,869,869,0,0,4,1024,0,0,0,16
BFS_kernel_warp,456960,125244,252,252,0,0,8,1024,0,0,0,16
BFS_kernel_warp,607744,125033,97,97,0,0,8,1024,0,0,0,16
BFS_kernel_warp,568384,125304,681,681,0,0,8,1024,0,0,0,16
BFS_kernel_warp,487072,250200,600,600,0,1,4,1024,0,0,0,16
BFS_kernel_warp,515999,125040,521,521,0,0,8,1024,0,0,0,16
BFS_kernel_warp,469728,1000065,605,605,0,0,1,1024,0,0,0,16
